"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Martin, Jean-Pierre","1948-","person","","Martin, Jean-Pierre, 1948- [person]","016837654","Monograph","Language material ; Text","Volume","","","9782070138678","L'autre vie d'Orwell","","L'un et l'autre","","France","Paris","Gallimard","2013","","149 pages, 21 cm","","YF.2014.a.20135","Authors, English--20th century--Biography ; Orwell, George, 1903-1950 ; Authors, English--Homes and haunts--Scotland--Jura","Biography","French","",""
"Martin, Stewart","1948-","person","","Orwell, George, 1903-1950 [person] ; Mahoney, John, 1940 February 23- [person] ; Martin, Stewart, 1948- [person]","008117695","Monograph","Language material ; Text","Volume","GB8702487","","9780850977691","Animal farm, George Orwell","Animal farm","Letts study aids","","England","London","Letts","1987","","79 pages, illustrations, 30 cm","823.912","YC.1988.b.7031","Orwell, George, 1903-1950 ; Fiction in English--Orwell, George","","English","",""
"Marín Ruiz, Ricardo","1976-","person","","Marín Ruiz, Ricardo, 1976- [person]","015868165","Monograph","Language material ; Text","Volume","","","9788496633674","Tres visiones de España durante la guerra civil : 'L'espoir', 'Homage to Catalonia' y 'For whom the bell tolls'","","Añafil","number 4 [Añafil]","Spain","Murcia","Nausícaä Edición Electrónica","2011","1st edition","385 pages, 24 cm","","YF.2011.a.21875","Malraux, André, 1901-1976 ; Spain--History--Civil War, 1936-1939--Literature and the war ; Hemingway, Ernest, 1899-1961 ; Orwell, George, 1903-1950","","Spanish","",""
"McCormick, Donald","1911-1998","person","","McCormick, Donald, 1911-1998 [person]","008089477","Monograph","Language material ; Text","Volume","GB8006702","","9780715376546","Approaching 1984","","","","England","Newton Abbot","David & Charles","1980","","191 pages, 23 cm","823.912","80/15641 ; X.989/88409","Dystopias in literature ; Totalitarianism and literature ; Orwell, George, 1903-1950 ; Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1979 ; Political fiction, English--History and criticism ; Science fiction, English--History and criticism ; History, Modern--1945-1989","","English","bibliography: p.187. _ Includes index",""
"McCullough, G. Wesley","","person","","McCullough, G. Wesley [person]","010773858","Monograph","Language material ; Text","Volume","GBA281822","","9781844010233","My Orwell","","","","England","London","Athena Press","2002","","103 pages, 20 cm","","YK.2003.a.6837","Orwell, George, 1903-1950--Criticism and interpretation ; Political fiction, English--History and criticism","","English","",""
"McCullough, G. Wesley","","person","","McCullough, G. Wesley [person]","013505776","Monograph","Language material ; Text","Volume","GBA659863","","9781844016327","George Orwell : a reader's approach","","","","England","London","Athena Press","2006","","103 pages, 21 cm","823.912","YC.2007.a.12242","Orwell, George, 1903-1950--Criticism and interpretation ; Political fiction, English--History and criticism","","English","",""
"McGregor, Iona","","person","","Buzan, Tony [person] ; McGregor, Iona [person]","011314491","Monograph","Language material ; Text","Volume","GB9857058","","9780340664018","A guide to Animal farm","","Teach yourself literature guides","","England","London","Hodder & Stoughton","1998","","x, 85 pages, illustrations, 20 cm","823.912","YK.1999.a.5728","Orwell, George, 1903-1950","","English","Includes index",""
"McNair, John, of the Independent Labour Party","","person","recipient","Bevan, Aneurin, politician, 1897-1960 [recipient] ; Hart, Basil Henry, Knight, military historian and strategist, 1895-1970 [recipient] ; Blair, Eric Arthur, writer, alias 'George Orwell', 1903-1950 [recipient] ; Lee, Janet (Jennie), Baroness Lee of Asheridge, politician, 1904-1988 [recipient] ; Pritchett, Victor Sawdon, Knight, author and critic, 1900-1997 [recipient]","032-001967914","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000055.0x000336","","George Orwell Papers: correspondence and papers, etc, of and relating to 'George Orwell', (Eric Arthur Blair) (b.1903, d.1950); 1930-1947, n.d. Mostly typewritten . Partly French . The material was kept by Blair in and among a collection of pamphlets gathered by him that were sorted into boxes and later presented to the Department of Printed Books in 1955 by his widow Sonia Orwell, née Brownell, (b.1918, d.1980). The pamphlets are now at 1899 ss 1-21, 23-48. A typewritten catalogue of the pamphlet collection describing boxes 1-30, possibly prepared by Blair, is at 1899. ss. 48. An unpublished document prepared in July 1994 by Peter Davison explaining the collection in detail and providing transcriptions of additional listings made by both Blair and the Department of Printed Books is at 1899. ss. 49. The boxes were numbered from 1-30 by Blair (omitting 22 and 27) and from 31-47 by Ian Angus. The Department of Printed Books made photocopies of some of the material at Sonia Orwell's request, and these were deposited with University College London, where Sonia Orwell had established an Orwell collection. See also Add. 49384. Transferred from the Department of Printed Books. Paper; ff. 265. British Library arrangement. Arranged as follows:. 1. ff. 1-121. Partly autograph letters to Blair from various correspondents, mostly relating to articles published by Blair in newspapers and journals, or letters soliciting articles from him; 10 June 1936-25 March 1947, n.d. Includes a letter from the BBC War Office rejecting a script Blair had prepared for radio broadcast, together with various internal BBC memos relating to further programmes broadcast by the BBC Eastern Service (ff. 10-25). 2. ff. 122-126. Letters to Blair and his first wife, Eileen, née O'Shaughnessy, (b.1905, d.1945); 3 Oct. 1938, 8 Sept. 1940. Includes a partly autograph letter to Eileen from Corporal Georges Kopp (b.1902, d.1951), who had met Blair in Barcelona in 1936, describing his war service and subsequent capture in France in 1940 (ff. 124-126). 3. ff. 127-130. Copies of letters written by Blair to various newspaper editors; 12 Oct. 1942, 15 Oct. 1942, n.d. 4. f. 131. Autograph letter from E. J. Wynburne to the editor of the New Statesman and Nation regarding Blair's review of pamphlets, removed from pamphlet 28, Box 15; 12 Jan. 1943. 5. f. 132. Letter from George Dickson to Aneurin Bevan (b.1897, d.1960) removed from pamphlet 39, Box 19; 3 July 1944. 6. ff. 133-134. Autograph letter from N. Gordon to Jenny [sic] (Janet) Lee (b.1904, d.1988) and Aneurin Bevan, together with an article headed 'London' and signed 'A Theocrat' with autograph note in Gordon's hand; 14 March 1943. Removed from pamphlet 11, Box 21; 14 March 1943, n.d. 7. f. 135. Letter from Joseph Czapski (b.1896, d.1993) to [Jérome Jenalton?] removed from pamphlet 1, Box 23; 26 March 1946. 8. f. 136. Letter from Gerald Bailey, director of the National Peace Council, to Blair, removed from pamphlet 2, Box 29; 22 July 1946. 9. ff. 137-154. Letters and papers, etc. sent to Blair relating to the 'Committee for a Fair Trial for Draja Mihailovich' and the 'Help Poles in Germany' committee, removed from Box 32; 6 June 1946-Feb. 1947. 10. ff. 155-168. Letter to Blair from William S. Schlamm (b.1904, d.1978) of Time and Life, with a memorandum relating to a new magazine, removed from Box 33; 26 April 1946. 11. ff. 169-177. Letter with enclosures to Blair from Captain Basil Liddell Hart (b.1895, d.1970) regarding Blair's review in The Observer of a biography of Charles de Gaulle (b.1890, d.1970) removed from Box 36; 8 Aug. 1942, n.d. Also includes an unsigned autograph letter to Aneurin Bevan (f. 177). 12. ff. 178-194. Lectures and instructions on combat procedures, etc, with autograph notes in Blair's hand, removed from Box 37; 1940. Also includes a copy of notes on the call-up of a Home Guard platoon marked 'Sergt Blair' (ff. 193-194). 13. ff. 195-201. Miscellaneous letters and papers, etc. removed from Box 38; 6 Nov. 1944-16 Sept. 1946, n.d. Includes a copy of a letter from John M. Sutherland regarding the resettlement of Poles in Scotland (f. 195), two fair copies of poems written out in Blair's hand marked 'submitted to Tribune' ('The Difference' by A[lan] Moray Williams (b.1915) and 'The Red Army Rides to Freedom' by Claude Len O'Shea) (ff. 196-197), and a report titled 'The Letchworth Training Centre' (ff. 198-201). 14. ff. 202-205. Letters and papers, etc, including a copy of the will of Blair's father, Richard Walmesley Blair (b.1857, d.1938), removed from Box 39; 26 April 1930-6 April 1942. 15. ff. 206-210. Miscellaneous papers etc. removed from Box 42; 28 July 1939-April 1944, n.d. Includes an advertisement from The Daily Telegraph for Sylvan Flakes titled 'Beach Coat from Dieppe' with autograph annotation by Blair 'Advert popularly believed to have given the Germans advance warning of the Dieppe raid' (f. 206), and an advertisement from The Times for Rose's Lime Juice with autograph annotations by E. M. Forster (b.1879, d.1970) (f. 207). Also includes a poem 'Sebastopol' marked 'J.F.B. April '44' (f. 208). 16. ff. 211-233. Miscellaneous correspondence and papers, etc. removed from Box 43; 1937-1946, n.d. Includes a letter to Blair from Tom Wintringham of the Common Wealth Party (b.1898, d.1949) enclosing a press release titled 'India - a New Proposal' (ff. 216-218), an autograph article titled 'News from Berlin' and signed 'Fritz' (ff. 220-223), and the script for a radio programme 'Living Writers. George Orwell' presented by V. S. Pritchett (b.1900, d.1997) and broadcast on the Third Programme, 23 Nov. 1946 (ff. 224-233). 17. ff. 234-265. Miscellaneous personal papers of Blair, including Unemployment Books, National Health and Pensions Insurance cards, and contracts; 1933-1946. Also includes a script of 'Little Red Riding Hood', a radio play written by Blair for BBC Radio Children's' Hour (ff. 246-261), and a menu for the Dickens Fellowship Luncheon of 1940 with 'A Tribute by Mr. Geo. Orwell' on the toast list (f. 262)","","","","","","","1930-1947","","1 item","","Western Manuscripts. Add MS 73083","Forster, Edward Morgan, novelist, 1879-1970 ; Gissing, George Robert, novelist ; Letchworth Training Centre","","English ; French","includes:. ff. 1-121 Eric Arthur Blair, alias 'George Orwell'; author: Letters rel. to articles for newspapers and journals to Eric Arthur Blair: 1936-1947, n.d.: Partly signed, partly typewritten; f. 10 Eric Arthur Blair, alias 'George Orwell'; author: Major R. S. P. Mackarness, BBC War Office Liaison Officer: Letter to Eric Arthur Blair from Maj. R. S. P. Mackarness: 1942: Signed; f. 122 Eric Arthur Blair, alias 'George Orwell'; author: Marjorie Dakin, née Blair; sister of E A Blair ('George Orwell'): Eileen Maud Blair, née O'Shaughnessy; 1st wife of E A Blair ('George Orwell'): Letter to Eric Arthur Blair and Eileen Maud Blair from Marjorie Dakin: 1938: Signed; f. 124 Georges Kopp, Belgian engineer: Eileen Maud Blair, née O'Shaughnessy; 1st wife of E A Blair ('George Orwell'): Letter to Eileen Maud Blair from Georges Kopp: 1940: Partly signed; ff. 127-130 Eric Arthur Blair, alias 'George Orwell'; author: Letters to newspaper editors from Eric Arthur Blair: 1942, n.d.: Typewritten; f. 131 E. J. Wynburne, of Marlborough, county Wiltshire: Letter to the editor of 'New Statesman and Nation' from E. J. Wynburne: 1943; f. 132 Aneurin Bevan: George Dickson, of the Full Employment Council: Letter to Aneurin Bevan from George Dickson: 1944: Signed; f. 133 Jennie Lee, Baroness Lee of Asheridge; widow of Aneurin Bevan: N. Gordon, of The Theocratic Party: Letter to Baroness Lee of Asheridge; widow of Aneurin Bevan Lee from N. Gordon: 1943; f. 135 Joseph Czapski, painter: Jérome Jenalton, translator: Letter to Jérome Jenalton from Joseph Czapski: 1946: Fre: Signed; f. 136 Eric Arthur Blair, alias 'George Orwell'; author: Gerald Bailey, Secretary, National Peace Council: Letter to Eric Arthur Blair from Gerald Bailey: 1946: Signed; f. 137 Eric Arthur Blair, alias 'George Orwell'; author: David Martin, of The Committee for a Fair Trial for Draja Mihailovich: Letter and papers etc, to Eric Arthur Blair from David Martin: 1946: Partly signed, partly typewritten; f. 145 Eric Arthur Blair, alias 'George Orwell'; author: Tadeusz Katelbach, of The Help Poles in Germany committee: Letter and papers etc, to Eric Arthur Blair from Tadeusz Katelbach: 1947: Partly signed, partly typewritten; f. 155 Eric Arthur Blair, alias 'George Orwell'; author: William S. Schlamm, of Time and Life Ltd: Letter to Eric Arthur Blair from William S. Schlamm: 1946: Signed; f. 169 Sir Basil Henry Liddell Hart, military historian and strategist: Eric Arthur Blair, alias 'George Orwell'; author: Letter to Eric Arthur Blair from Sir Basil Henry Liddell Hart: 1942: Signed; f. 177 Aneurin Bevan: Unsigned letter to Aneurin Bevan: n.d; ff. 178-194 Eric Arthur Blair, alias 'George Orwell'; author: Lectures and instructions on combat procedures and the Home Guard etc, of Eric Arthur Blair: circa 1940: Typewritten; f. 195 John Sutherland, of Bonar Bridge, county Sutherlandshire: Letter from John Sutherland: 1946: Typewritten; f. 196 Eric Arthur Blair, alias 'George Orwell'; author: Alan Moray Williams, writer: Poem, 'The Difference' by Alan Moray Williams in hand of Eric Arthur Blair: 1944: Autograph; f. 197 Eric Arthur Blair, alias 'George Orwell'; author: Claude Len O'Shea, writer: Poem, 'The Red Army Rides to Freedom' by Claude Len O'Shea in hand of Eric Arthur Blair: 1945: Autograph; f. 198 Letchworth Training Centre: Report rel. to Letchworth Training Centre: circa 1940: Typewritten; f. 202 Emma Goldman, of Solidaridad Internacional Antifascista: Eileen Maud Blair, née O'Shaughnessy; 1st wife of E A Blair ('George Orwell'): Letter to Eileen Maud Blair from Emma Goldman: 1938: Signed; f. 204 Richard Walmesley Blair, father of E Blair ('George Orwell'): Will of Richard Walmesley Blair: 1930: Copy; f. 206 Eric Arthur Blair, alias 'George Orwell'; author: Newspaper advertisement with annotations by Eric Arthur Blair: 1942: Partly printed, partly autograph; f. 207 Eric Arthur Blair, alias 'George Orwell'; author: Edward Morgan Forster, novelist: Newspaper advertisement sent to Eric Arthur Blair with annotations by Edward Morgan Forster: n.d.: Partly printed, partly autograph; f. 208 Eric Arthur Blair, alias 'George Orwell'; author: Poem by unknown author, 'Sebastopol' published in the 'Tribune' by Eric Arthur Blair: 1944: Typewritten; f. 209 Eric Arthur Blair, alias 'George Orwell'; author: S. R. Harvey, of SPBA Supplies Ltd: Letter to Eric Arthur Blair from S. R. Harvey: 1939: Signed; f. 211 Eric Arthur Blair, alias 'George Orwell'; author: Barclay Sampson, of the Independent Labour Party: John McNair, of the Independent Labour Party: Letter to John McNair from Barclay Sampson to be handed to Eric Arthur Blair: 1937; ff. 216-219 Eric Arthur Blair, alias 'George Orwell'; author: Tom Wintringham, of the Common Wealth Party National Committee: Correspondence between Tom Wintringham and Eric Arthur Blair: 1942: Partly signed, partly typewritten; ff. 224-233 Eric Arthur Blair, alias 'George Orwell'; author: Sir Victor Sawdon Pritchett, author and critic: BBC radio programme script by Sir Victor Sawdon Pritchett rel. to Eric Arthur Blair: 1946: Typewritten; f. 234 Eric Arthur Blair, alias 'George Orwell'; author: Unemployment book of Eric Arthur Blair: 1933-1934: Partly printed, partly autograph; ff. 236-239 Eric Arthur Blair, alias 'George Orwell'; author: National Health and Pensions Insurance contribution cards of Eric Arthur Blair: 1934-1935: Partly printed, partly autograph; f. 240 Eric Arthur Blair, alias 'George Orwell'; author: Notice to pay excise duties of Eric Arthur Blair: 1937: Printed; f. 241 Eric Arthur Blair, alias 'George Orwell'; author: Contract of employment as Talks Assistant for the BBC Empire Service of Eric Arthur Blair: 1941: Typewritten; f. 243 Eric Arthur Blair, alias 'George Orwell'; author: Rodney Phillips, of 'Polemic' journal: Contract between Eric Arthur Blair and Rodney Phillips: 1945: Signed; f. 245 Eric Arthur Blair, alias 'George Orwell'; author: George Robert Gissing, novelist: List of works by George Robert Gissing belonging to Eric Arthur Blair: 1946: Typewritten; ff. 246-261 Eric Arthur Blair, alias 'George Orwell'; author: Radio script, 'Little Red Riding Hood' by Eric Arthur Blair: circa 1946: Typewritten; f. 262 Eric Arthur Blair, alias 'George Orwell'; author: Menu for the Dickens Fellowship Luncheon of Eric Arthur Blair: 1940: Typewritten",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person] ; Meyers, Valerie [person]","007432282","Monograph","Language material ; Text","Volume","GB7817160","","9780824099558","George Orwell : an annotated bibliography of criticism","","Garland reference library of the humanities","volume 54 [Garland reference library of the humanities]","England ; United States of America","Holly Bush Hill, NW3 6SH ; London ; New York","Garland","1977","","ix, 132 pages, 8 pages of plates, leaf of plates, illustrations, facsimiles, 23 cm","016.823912","78/12190 ; X.989/52441","Orwell, George, 1903-1950--Bibliography ; Fiction in English--Orwell, George--1903-1950--Bibliographies ; Satire, English--History and criticism--Bibliography ; Dystopias in literature--Bibliography","","English","",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","007394481","Monograph","Language material ; Text","Volume","GB7531350","","9780710082558","George Orwell, the critical heritage","","The critical heritage series","","England","London","Routledge & Kegan Paul","1975","","xiv, 392 pages, 23 cm","823.912","X.989/40352","Orwell, George, 1903-1950--Criticism and interpretation ; Fiction in English--Orwell, George--1903-1950","","English","bibliography: p.382. _ Includes index",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","009168723","Monograph","Language material ; Text","Volume","","","9780393047929","Orwell : wintry conscience of a generation","","","","United States of America","New York","W.W. Norton","2000","","","828.91209","m00/45848","Literature and society--England--History--20th century ; Authors, English--20th century--Biography ; Politics and literature--England--History--20th century ; Orwell, George, 1903-1950","Biography","English","",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","010978774","Monograph","Language material ; Text","Volume","GB9725333","","9780415159234","George Orwell : the critical heritage","","The critical heritage series","","England","London","Routledge","1997","","xiv, 392 pages, 23 cm","","m00/36163","Orwell, George, 1903-1950--Criticism and interpretation","","English","Originally published: London : Routledge & Kegan Paul, 1975",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","011953195","Monograph","Language material ; Text","Volume","GBA145241","","9780393047929","Orwell : wintry conscience of a generation","","","","England ; United States of America","London ; New York","W.W. Norton","2000","","xvi, 380 pages, maps, portraits, 24 cm","828.91209","YC.2001.a.12454","Literature and society--England--History--20th century ; Authors, English--20th century--Biography ; Politics and literature--England--History--20th century ; Orwell, George, 1903-1950","Biography","English","",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","011953684","Monograph","Language material ; Text","Volume","GBA171046","","9780393322637","Orwell : wintry conscience of a generation","","","","England ; United States of America","London ; New York","Norton","2001","","xviii, 380 pages, illustrations, maps, portraits, 21 cm","823.912","YC.2001.a.20344","Authors, English--20th century--Biography ; Orwell, George, 1903-1950","Biography","English","",""
"Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Orwell : life and art","'An affirming flame' : homage to Catalonia -- ; Miseries and splendors of scholarship -- ; Nineteen eighty-four : a novel of the 1930s -- ; Orwell : a voice that naked goes -- ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; The wind in the willows : a new source for Animal farm -- ; True to life : writing Orwell's biography","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","828.91209","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
"Meyers, Jeffrey","","person","","Orwell, George, 1903-1950 [person] ; Meyers, Jeffrey [person]","002479017","Monograph","Language material ; Text","Volume","","","9780500140192","A reader's guide to George Orwell","","","","England","London","Thames & Hudson","1975","","192 pages, 21 cm","","X.989/30247","","","","",""
"Meyers, Valerie","","person","","Meyers, Jeffrey [person] ; Meyers, Valerie [person]","007432282","Monograph","Language material ; Text","Volume","GB7817160","","9780824099558","George Orwell : an annotated bibliography of criticism","","Garland reference library of the humanities","volume 54 [Garland reference library of the humanities]","England ; United States of America","Holly Bush Hill, NW3 6SH ; London ; New York","Garland","1977","","ix, 132 pages, 8 pages of plates, leaf of plates, illustrations, facsimiles, 23 cm","016.823912","78/12190 ; X.989/52441","Orwell, George, 1903-1950--Bibliography ; Fiction in English--Orwell, George--1903-1950--Bibliographies ; Satire, English--History and criticism--Bibliography ; Dystopias in literature--Bibliography","","English","",""
"Meyers, Valerie","","person","","Meyers, Valerie [person]","010055149","Monograph","Language material ; Text","Volume","GB9100667","","9780333407516","George Orwell","","Macmillan modern novelists","","England","London","Macmillan","1991","","150 pages, 22 cm","823.912","91/19813 ; YC.1991.a.4439","Orwell, George, 1903-1950--Criticism and interpretation ; English fiction","","English","",""
"Michéa, Jean-Claude","","person","","Michéa, Jean-Claude [person]","009990258","Monograph","Language material ; Text","Volume","","","","Orwell, anarchiste tory","","Micro-climats","40 [Micro-climats]","France","Castelnau-le-Lez","Climats","1995","","139 pages","","YA.1995.a.23355","Orwell, George, 1903-1950 ; Authors, English--Political and social views","","French","",""
"Michéa, Jean-Claude","","person","","Michéa, Jean-Claude [person]","012915660","Monograph","Language material ; Text","Volume","","","9782841582334","Orwell éducateur","","Sisyphe","","France","Castelnau-le-Lez","Climats","2003","","167 pages, 20 cm","","YF.2004.a.10670","Orwell, George, 1903-1950--Political and social views","","French","",""
"Middleton, Haydn","","person","","Middleton, Haydn [person]","006966602","Monograph","Language material ; Text","Volume","GBA3X7727","","9780431140018","George Orwell","","Creative lives","","England","Oxford","Heinemann Library","2003","","48 pages, illustrations, 24 cm","823.912","","Orwell, George, 1903-1950--Juvenile literature ; Novelists, English--20th century--Biography--Juvenile literature","Biography ; Children's literature","English","Originally published: 2002",""
"Middleton, Haydn","","person","","Middleton, Haydn [person]","012626697","Monograph","Language material ; Text","Volume","GBA350833","","9780431139944","George Orwell","","Creative lives","","England","Oxford","Heinemann Library","2002","","64 pages, illustrations (some colour), portraits, 25 cm","823.912","YK.2003.a.21882","Orwell, George, 1903-1950 ; Novelists, English--20th century--Biography--Juvenile literature","Biography ; Children's literature","English","",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","002722726","Monograph","Language material ; Text","Volume","","","","1984. Powieść. Tłumaczył ... Juliusz Mieroszewski","","Biblioteka 'Kultury.' tomes 2","","","Paryż","","1953","","254 pages (8°)","","12653.a.22","","","","",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","007315042","Monograph","Language material ; Text","Volume","","","","1984 : powieść","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","Biblioteka 'Kultury'","tomes 308 [Biblioteka 'Kultury']","France","Paryż","Instytut Literacki","1983","Wydanie 3","303 pages","","X.950/31144","Fiction in English--1900-1945--Translations","","Polish","",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","011890352","Monograph","Language material ; Text","Volume","","","","1984 : powieść","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","Biblioteka 'Kultury'","tomes 308 [Biblioteka 'Kultury']","France","Paryż","Instytut Literacki","1979","Wydanie 3","303 pages","","X.958/22406","","","Polish","Miniature edition for distribution in Poland",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","011890354","Monograph","Language material ; Text","Microfilm","","","","Rok 1984","Nineteen eighty-four. Polish","","","Poland","Warszawa","Kra̢g","1982","","254 pages","","Mic.A.9750","Fiction in English--1900-1945--Translations","","Polish","Samizdat publication",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","011890355","Monograph","Language material ; Text","Microfilm","","","","Rok 1984","Nineteen eighty-four. Polish","","","Poland","Warszawa","Głos","1980","","254 pages","","Mic.A.9750","Fiction in English--1900-1945--Translations","","Polish","Samizdat publication",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","011890358","Monograph","Language material ; Text","Microfilm","","","","1984","Nineteen eighty-four. polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","Wybòr pism / George Orwell","tomes 1 [Wybòr pism / George Orwell]","Poland","Kraków","","1981","","303 pages","","Mic.A.9822","","","Polish","Samizdat publication",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","012550423","Monograph","Language material ; Text","Volume","","","","Rok 1984","Nineteen eighty-four. Polish","","","Poland","Poznań ; Warszawa","Officyna Liberałów","1985","","212 pages","","Sol.204b","Fiction in English--1900-1945--Texts","","Polish","Samizdat publication",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","012559756","Monograph","Language material ; Text","Microfilm ; Microfilm reel","","","","1984","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","","","Poland","Kraków","","1981","","1 microfilm reel, 35 mm","","MIC.A.7999","Fiction in English--1945---Texts","","Polish","Polish second samizdat edition being a reduced facsimile reprinted of the original published in 1979 in Paris by the Instytut Literacki",""
"Mieroszewski, Juliusz","","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","012560002","Monograph","Language material ; Text","Volume","","","","1984","Nineteen eighty-four. Polish ; Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","Wybór pism / George Orwell","tomes 1 [Wybór pism / George Orwell]","Poland","Kraków","","1981","","303 pages","","Sol.250","Fiction in English--1900---Texts","","Polish","Polish samizdat publication ; Published by KOS or ABC",""
"Milković, Dragan","","person","","Orwell, George, 1903-1950 [person] ; Milković, Dragan [person] ; Židovec, Zdravko [person]","006710435","Monograph","Language material ; Text","Volume","","","","Odabrana djela Georgea Orwella","Works. Selections","","","Serbia and Montenegro","Zagreb","August Cesarec","1983","","6 volumes","","X.950/31143","Fiction in English--1900-1945--Texts","","Croatian","",""
"Miller, Henry","1891-1980","person","","Miller, Henry, 1891-1980 [person] ; Orwell, George, 1903-1950 [person] ; Dickens, Charles, 1812-1870 [person]","002722703","Monograph","Language material ; Text","Volume","","","","Inside the Whale, and other essays. (Charles Dickens.-Boys' Weeklies.-Inside the Whale [An appreciation of Henry Miller the novelist.])","General Appendix","","","England","London","Victor Gollancz","1940","","188 pages (8°)","","11862.bbb.38","","","","",""
"Millum, Trevor","","person","","Orwell, George, 1903-1950 [person] ; Millum, Trevor [person]","010081277","Monograph","Language material ; Text","Volume","GB9106214","","9780582060104","Animal Farm","","Longman literature","","England","Harlow","Longman","1991","","xvi, 112 pages, 20 cm","823.912","YK.1991.a.2711","English fiction","","English","Originally published: London : Secker & Warburg, 1945",""
"Mirkowicz, Tomasz","","person","","Orwell, George, 1903-1950 [person] ; Mirkowicz, Tomasz [person]","011211432","Monograph","Language material ; Text","Volume","","","9788306018066","Rok 1984","Nineteen eighty-four. Polish","Klub interesującej książki","","Poland","Warszawa","Państwowy Instytut Wydawniczy","1988","Wydanie 1","218 pages, 20 cm","","YA.1991.a.21861","","","English ; Polish","",""
"Mitchell, Adrian","1932-2008","person","","Mitchell, Adrian, 1932-2008 [person] ; Orwell, George, 1903-1950 [person] ; Peaslee, Richard [person] ; Hall, Peter, 1930-2017 [person]","007375586","Monograph","Language material ; Text","Volume","GB9325316","","9780435232917","The play of George Orwell's Animal Farm","Animal farm","","","England","Oxford","Heinemann","1985","","xiii, 143 pages, music, 21 cm","822.912","YK.1993.a.7767","English drama","","English","",""
"Mitchell, Adrian","1932-2008","person","","Mitchell, Adrian, 1932-2008 [person] ; Orwell, George, 1903-1950 [person] ; Peaslee, Richard [person] ; Hall, Peter, 1930-2017 [person]","011963890","Monograph","Language material ; Text","Volume","GB8540551","","9780413600608","George Orwell's Animal farm","Animal farm","Methuen young drama","","England","London","Methuen","1985","","59, 76 pages, music, 20 cm","822.914","X.439/13853","Drama in English--1945---Texts ; Musicals--Vocal scores with piano ; Musicals--Librettos","","English","",""
