"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Manès Sperber, Arthur Koestler und George Orwell : der Totalitarismus als Geissel des 20. Jahrhunderts","","010586490","Monograph","Language material ; Text","Volume","","","9783892470168","Komuth, Horst","","person","","Komuth, Horst [person]","Neue Würzburger Studien zur Soziologie","Band 6 [Neue Würzburger Studien zur Soziologie]","Germany","Würzburg","Creator-Verlag","1987","1st Auflage","224 pages, 20 cm","","YA.1992.a.711","Orwell, George, 1903-1950--Criticism and interpretation ; Sperber, Manès, 1905-1984--Criticism and interpretation ; Totalitarianism and literature ; Koestler, Arthur, 1905-1983--Criticism and interpretation","","German","",""
"Marxistas y liberales : la justicia, la igualdad y la fraternidad en la teoría política contemporánea","","018334427","Monograph","Language material ; Text","Volume","","","9789876914604","Lizárraga, Fernando","","person","author","Lizárraga, Fernando, author [person]","Filosofía","","Argentina","Buenos Aires","Editorial Biblos","2016","","249 pages, 23 cm","","YF.2017.a.17605","Justice ; Cohen, G. A. (Gerard Allan), 1921-2002 ; Rawls, John, 1921-2002 ; Orwell, George, 1903-1950 ; Equality","","Spanish","",""
"Mazraʿat al-ḥayawānāt : ashhur al-qiṣaṣ al-ramzīyah fī al-adabīyāt al-siyāsīyah","Animal farm. Arabic","008654261","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Ṣubḥī, Nabīl [person]","","","Lebanon","Bayrūt","Muʾassasat al-Risālah","1983","","152 pages, 20 cm","","ARB.1987.a.1121","Communism--Fiction ; Political fiction, English--Translations into Arabic ; Political fiction, Arabic--Translations from English","","Arabic","",""
"Mazraʿat al-ḥayawānāt al-thawrīyah","Animal farm","013228192","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","Lebanon","Bayrūt","Dār al-Abḥāth wa al-Nashr","1968","","144 pages, illustrations, 22 cm","","14573.aa.161","Novels and Short Stories","","Arabic","A novel",""
"Mein Katalonien","Homage to Catalonia. German","012047870","Monograph","Language material ; Text","Volume","","","9783257202144","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Rieger, Wolfgang [person]","Diogenes Taschenbuch","63/IV [Diogenes Taschenbuch]","Switzerland","Zürich","Diogenes","1975","","286 pages, 18 cm","","X:908/36684","","","German","",""
"Mil neuf cent quatre vingt quatre","1984 et '1984' : les prédictions de George Orwell: où se sont-elles réalisées et comment?","009339657","Monograph","Language material ; Text","Volume","","","","Sturua, Mėlor","","person","","Sturua, Mėlor [person]","","","Russia","Moscou","Novosti","1984","","23 pages","","X.529/73529","Nineteen eighty four ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","French","",""
"Mil nou-cents vuitanta-quatre, radiografia d'un malson","1984: radiografia d'un malson","010797120","Monograph","Language material ; Text","Volume","","","9788429721867","Berga i Bagué, Miquel","1952-","person","","Berga i Bagué, Miquel, 1952- [person]","Llibres a l'abast","195 [Llibres a l'abast]","Spain","Barcelona","Edicions 62","1984","","126 pages, 18 cm","823.912","YA.1988.a.13154","Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","Catalan","",""
"Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud'","","016654651","Monograph","Language material ; Text","Volume","GBB431797","","9781443854559","Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)","","person","author","Al-Jubouri, Firas A. J. (Firas Adnan Jabbar), author [person]","","","England","Newcastle upon Tyne","Cambridge Scholars","2014","","xiv, 254 pages, 22 cm","823.912","YC.2014.a.14831","Dystopias in literature ; Orwell, George, 1903-1950--Criticism and interpretation ; Totalitarianism in literature ; Machiavelli, Niccolò, 1469-1527--Influence","","English","",""
"Milestones on the road to dystopia : interpreting George Orwell's self-division in an era of 'force and fraud'","George Orwell's self-division in an era of 'force and fraud'","017854619","Monograph","Language material ; Text","Online resource","GBB6F7210","","9781443857796","Al-Jubouri, Firas A. J. (Firas Adnan Jabbar)","","person","","Al-Jubouri, Firas A. J. (Firas Adnan Jabbar) [person]","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2014","","1 online resource (xiv, 254 pages)","823.912","ELD.DS.61891","Anti-Utopie ; Literature & literary studies ; Orwell, George, 1903-1950 ; Social psychology ; Political structures: totalitarianism & dictatorship ; Dystopias ; BUSINESS & ECONOMICS--Industries--Media & Communications ; Political ideologies ; Orwell, George, 1903-1950--Criticism and interpretation ; TECHNOLOGY & ENGINEERING--Telecommunications ; Spatial behavior","Criticsm and interpretation","English","",""
"Mirroring the lamp : literary visuality, strategies of visualizations, and scenes of observation in interwar narratives","","016636599","Monograph","Language material ; Text","Volume","","","9783868214857","Tripp, Ronja","","person","author","Tripp, Ronja, author [person]","Anglistik - Amerikanistik - Anglophonie","Band 19 [Anglistik - Amerikanistik - Anglophonie]","Germany","Trier","Wissenschaftlicher Verlag Trier","2013","","xii, 301 pages, 23 cm","","YD.2014.a.1333","Waugh, Evelyn, 1903-1966 ; Greene, Graham, 1904-1991--Aesthetics ; Aesthetics in literature ; Perception in literature ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Aesthetics ; Waugh, Evelyn, 1903-1966--Aesthetics","","English ; German","Thesis (doctoral) --Universität, Stuttgart, 2012",""
"Miscellaneous Publications","Abinger harvest. (Reprinted.) ; Appendix ; Yale College Series","002632527","Monograph","Language material ; Text","Volume","","","","Yale University","","organisation","","Orwell, George, 1903-1950 [person] ; Huxley, Aldous, 1894-1963 [person] ; Waugh, Evelyn, 1903-1966 [person] ; Forster, E. M. (Edward Morgan), 1879-1970 [person] ; Yale University [organisation]","","","England ; United States of America","London ; New Haven","Yale University Press","1964","","","","Ac.2692.ma/34","","","","",""
"Miseries and splendors of scholarship --","'An affirming flame' : homage to Catalonia -- ; Nineteen eighty-four : a novel of the 1930s -- ; Orwell : a voice that naked goes -- ; Orwell : life and art ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; The wind in the willows : a new source for Animal farm -- ; True to life : writing Orwell's biography","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","828.91209","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
"Modernity and progress : Fitzgerald, Hemingway, Orwell","","013290648","Monograph","Language material ; Text","Volume","GBA709586","","9780817314682","Berman, Ronald","","person","","Berman, Ronald [person]","","","United States of America","Tuscaloosa, Alabama","University of Alabama Press","2005","","123 pages, illustrations, 24 cm","813.5209","YC.2007.a.1743 ; m05/.35389","Literature and history--English-speaking countries ; American fiction--20th century--History and criticism ; Modernism (Literature)--English-speaking countries ; Fitzgerald, F. Scott (Francis Scott), 1896-1940--Criticism and interpretation ; Orwell, George, 1903-1950--Criticism and interpretation ; Progress in literature ; Hemingway, Ernest, 1899-1961--Criticism and interpretation","","English","",""
"Monajātī gharabhāṭa","Animal farm. Konkani","009962674","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Gomes, Olivinho, 1943- [person]","","","India","Gonya","Konkaṇī Saraspata Prakāśana","1985","","112 pages","","SAC.1990.a.1724","English fiction--20th century--Translations into Konkani","","Kongo","",""
"Monks' Fitchett _ the road to George Orwell","","011185131","Monograph","Language material ; Text","Volume","GB8432360","","","Brookes, Esther M.","","person","","Brookes, Esther M. [person]","","","England","Monks' Fitchett, Wallington, Baldock, Hertfordshire ; Wallington","E.M. Brookes","1983","","8 pages, illustrations, 1 portrait, 21 cm","823.912","X.809/60410","Orwell, George, 1903-1950--Homes and haunts--England--Wallington (Hertfordshire) ; Fiction in English--Orwell, George--Local associations--Hertfordshire--Wallington","","English","Cover title",""
"Mranʿ mā praññʿ mha ne′ rakʿ myā″","Burmese days","016136921","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mraṅʿʹ Krvayʿ, moṅʿ [person]","","","Burma","Ranʿ kunʿ","Loka sacʿ cā pe","2012","","435 pages, 20 cm","","YP.2012.a.1845","Burma--History--1824-1948","","Burmese","",""
"Murakami Haruki to Igirisu : Haruki, Ōweru, Konraddo = Murakami Haruki, George Orwell, Joseph Conrad","Murakami Haruki, George Orwell, Joseph Conrad ; 村上春樹とイギリス : ハルキ, オーウェル, コンラッド","016538274","Monograph","Language material ; Text","Volume","","","9784779118906","Yoshioka, Eiichi","1950-","person","author","Yoshioka, Eiichi, 1950-, author [person] ; 吉岡栄一, 1950- [person]","","","Japan","Tōkyō","Sairyūsha","2013","","204 pages, 20 cm","","JPN.2014.a.259","Conrad, Joseph, 1857-1924--Criticism and interpretation ; 村上, 春樹 (1949-) ; Orwell, George, 1903-1950--Criticism and interpretation ; Murakami, Haruki, 1949---Criticism and interpretation","","Japanese","",""
"Murakami Haruki, George Orwell, Joseph Conrad","Murakami Haruki to Igirisu : Haruki, Ōweru, Konraddo = Murakami Haruki, George Orwell, Joseph Conrad ; 村上春樹とイギリス : ハルキ, オーウェル, コンラッド","016538274","Monograph","Language material ; Text","Volume","","","9784779118906","Yoshioka, Eiichi","1950-","person","author","Yoshioka, Eiichi, 1950-, author [person] ; 吉岡栄一, 1950- [person]","","","Japan","Tōkyō","Sairyūsha","2013","","204 pages, 20 cm","","JPN.2014.a.259","Conrad, Joseph, 1857-1924--Criticism and interpretation ; 村上, 春樹 (1949-) ; Orwell, George, 1903-1950--Criticism and interpretation ; Murakami, Haruki, 1949---Criticism and interpretation","","Japanese","",""
"My Orwell","","010773858","Monograph","Language material ; Text","Volume","GBA281822","","9781844010233","McCullough, G. Wesley","","person","","McCullough, G. Wesley [person]","","","England","London","Athena Press","2002","","103 pages, 20 cm","","YK.2003.a.6837","Orwell, George, 1903-1950--Criticism and interpretation ; Political fiction, English--History and criticism","","English","",""
"My country right or left and other selected essays and journalism","Collected essays, journalism and letters of George Orwell ; Works. Selections","007694436","Monograph","Language material ; Text","Volume","GBA426691","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Folio Society","1998","","318 pages, 16 pages of plates, illustrations, portraits, 23 cm","828.91209","YC.2004.a.6247","","","English","Originally published in The collected essays, journalism and letters of George Orwell. London : Secker & Warburg, 1968",""
"My","Animal farm. Russian ; Antiutopii xx veka ; Antiutopü dvadts︠a︡togo veka ; Brave new world. Russian","006694578","Monograph","Language material ; Text","Volume","","","9785700001571","","","","","Orwell, George, 1903-1950 [person] ; Zami︠a︡tin, Evgeniĭ Ivanovich, 1884-1937 [person] ; Huxley, Aldous, 1894-1963 [person]","Populiarnai︠a︡ biblioteka. Fantastika","2 [Populiarnai︠a︡ biblioteka. Fantastika]","Russia","Moskva","Knizhnai︠a︡ palata","1989","","348 pages, illustrations, 22 cm","","YA.1993.a.11996","Dystopias","","Russian","",""
"Métier de l'homme","Langage est ma patrie ; Lenguaje es mi patria ; Oficio de hombre ; Vivir es resistir : tres conferencias y una conversación ; Works. Selections. Spanish","016716622","Monograph","Language material ; Text","Volume","","","9788483838488","Semprún, Jorge","","person","author ; interviewee","Semprún, Jorge, author ; interviewee [person] ; Appréderis, Franck, interviewer ; writer [person] ; Semprún, Jorge [person] ; Albiñana, Javier, translator [person]","Ensayo","93 [Ensayo]","Spain","Barcelona","Tusquets","2014","1st a edición","197 pages, 21 cm","306","YF.2015.a.18073","Intellectual life ; Husserl, Edmund, 1859-1938 ; Resistance (Philosophy) ; Bloch, Marc, 1886-1944 ; Semprún, Jorge--Interviews ; Orwell, George, 1903-1950 ; 1900 - 1999 ; Government, Resistance to, in literature ; Semprún, Jorge--Philosophy ; Orwell, George, 1903-1950--Criticism and interpretation ; Intellectual life--20th century","Criticsm and interpretation ; Interview","Spanish","First work consists of three related studies based on papers presented at the Bibliothèque nationale de France in 2002 ; Second, longer, work consists of a dialogue between the author and Franck Appréderis ; Translated from the French",""
"Narrative essays","","015117476","Monograph","Language material ; Text","Volume","GBA939972","","9781846553271","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Packer, George [person]","","","England","London","Harvill Secker","2009","","xxviii, 308 pages, 24 cm","824.912","YC.2010.a.10578","English essays--20th century","","English","",""
"Nature, liberty and dystopia : on the moral significance of nature for human freedom","","013386170","Monograph","Language material ; Text","Volume","GBA616627","","9780415385060","Stephens, Piers","","person","","Stephens, Piers [person]","Routledge research in environmental politics","","England","London","Routledge","2006","","224 pages, 24 cm","808.81936","","Huxley, Aldous, 1894-1963 ; Ecology--Political aspects ; Orwell, George, 1903-1950 ; Bradbury, Ray, 1920-2012 ; Dystopias ; Liberty in literature ; Zami︠a︡tin, Evgeniĭ Ivanovich, 1884-1937 ; Nature in literature","","English","",""
"Negative utopian fiction (Aldous Huxley and George Orwell: commitment and fabulation)","","010021050","Monograph","Language material ; Text","Volume","","","","Vohra, S. K.","","person","","Vohra, S. K. [person]","","","India","Meerut","Shalabh Prakashan","1987","","177, xivp","","YA.1989.a.10486","Huxley, Aldous, 1894-1963 ; Orwell, George, 1903-1950","","English","",""
"New statesman","Essays. Selections ; Unwelcome guerrilla : George Orwell and the New statesman : an anthology","017881075","Monograph","Language material ; Text","Volume","","","9780900962165","Orwell, George","1903-1950","person","author","George, Alan, 1949-, editor [person] ; Crick, Bernard, 1929-2008, writer [person] ; Orwell, George, 1903-1950, author [person]","","","England","London","New Statesman","1984","","95 pages, 21 cm","824.91 ; 828.91209","YD.2016.a.3890","Engels ; Orwell, George, 1903-1950--Criticism and interpretation ; Romans ; Maatschappijkritiek","Criticsm and interpretation","English","'George Orwell contributed a total of 23 articles and reviews to the magazine, spanning the years 1932 to 1943.'--page 13",""
"Newsletter (Orwell Society)","Newsletter ; O.S. newsletter ; The Orwell Society newsletter","018691418","Serial","Language material ; Text","Volume","","","","","","","","Orwell Society [organisation]","","","England","Chichester, West Sussex","Orwell Society","2012-2014","","5 volumes, illustrations (black and white and colour), 21-23 cm","828.91209","ZC.9.a.9665","Orwell, George, 1903-1950--Appreciation--Periodicals ; Orwell, George, 1903-1950--Political and social views--Periodicals ; Orwell, George, 1903-1950--Criticism and interpretation--Periodicals ; Orwell, George, 1903-1950--Periodicals ; Orwell Society--Periodicals","Periodical","English","Continued by: Journal (Orwell Society) ; Place of publication change: Catherine-de-Barnes, Solihull, 2014",""
"Newsletter","Newsletter (Orwell Society) ; O.S. newsletter ; The Orwell Society newsletter","018691418","Serial","Language material ; Text","Volume","","","","","","","","Orwell Society [organisation]","","","England","Chichester, West Sussex","Orwell Society","2012-2014","","5 volumes, illustrations (black and white and colour), 21-23 cm","828.91209","ZC.9.a.9665","Orwell, George, 1903-1950--Appreciation--Periodicals ; Orwell, George, 1903-1950--Political and social views--Periodicals ; Orwell, George, 1903-1950--Criticism and interpretation--Periodicals ; Orwell, George, 1903-1950--Periodicals ; Orwell Society--Periodicals","Periodical","English","Continued by: Journal (Orwell Society) ; Place of publication change: Catherine-de-Barnes, Solihull, 2014",""
"Nineteen Eighty Four. Hungarian","1984 : regény ; Ezerkilencszáznyolcvannégy","008189935","Monograph","Language material ; Text","Volume","","","9789630748155","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Szíjgyártó, László [person]","","","Hungary","Budapest","Európa Könyvkiadó","1989","","373 pages","","YA.1993.a.6943","Fiction in English--1900---Translations","","Hungarian","",""
"Nineteen Eighty-Four","","011026040","Monograph","Language material ; Text","Volume","","","9780198185215","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Crick, Bernard, 1929-2008 [person]","","","","","Clarendon","1984","","","","84/31445","","","","",""
"Nineteen Eighty-Four","Twentieth century interpretations of 1984. A collection of critical essays. Edited by Samuel Hynes","001785447","Monograph","Language material ; Text","Volume","","","9780136225973","Hynes, Samuel","1924-","person","","Orwell, George, 1903-1950 [person] ; Hynes, Samuel, 1924- [person]","Spectrum book","number S-878 [Spectrum book]","United States of America","Englewood Cliffs, New Jersey","Prentice Hall","1971","","vi, 117 pages, 21 cm","","X.900/10164","","","","",""
"Nineteen Eighty-Four, etc","","002722714","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Penguin Books","number 972 [Penguin Books]","England","Harmondsworth ; London","Penguin ; Secker & Warburg","1954","","250 pages (8°)","","12208.a.1/972","","","","",""
"Nineteen Eighty-Four. A novel","","002722712","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Secker & Warburg","1949","","312 pages (8°)","","12655.tt.11 ; NN.39452","","","","",""
"Nineteen Eighty-Four. A novel","","002722713","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","United States of America","New York","Harcourt, Brace","1949","","314 pages (8°)","","12654.ppp.19","","","","",""
"Nineteen eight-four in 1984 : autonomy, control and communication","","007441986","Monograph","Language material ; Text","Volume","GB8730451","","9780906890424 ; 9780906890431","","","","","Chilton, Paul [person] ; Aubrey, Crispin [person]","Comedia series","number 17 [Comedia series]","England","London","Comedia","1983","","120 pages, 4 pages of plates, illustrations, portraits, 22 cm","823.912","YC.1987.a.6202","Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984 ; History, Modern--1945- ; Orwell, George, 1903-1950","","English","",""
"Nineteen eighty four","","011541917","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Penguin","1964","","251 pages","","VGR/0652","","","English","",""
"Nineteen eighty-five","1985","010040689","Monograph","Language material ; Text","Volume","GB7835580","","9780091360801","Burgess, Anthony","1917-1993","person","","Burgess, Anthony, 1917-1993 [person]","","","England","London","Hutchinson","1978","","240 pages, 23 cm","823.91","Nov.37659","Fiction in English ; Fiction in English--1900---Texts ; Orwell, George, 1903-1950","Science fiction","English","",""
"Nineteen eighty-four : Animal farm","Animal farm","006742812","Monograph","Language material ; Text","Volume","GB8437235","","9780907486558","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Chancellor","1984","","430 pages, 23 cm","823.912","Nov.52276","Fiction in English--1900-1945--Texts","","English","",""
"Nineteen eighty-four : a novel of the 1930s --","'An affirming flame' : homage to Catalonia -- ; Miseries and splendors of scholarship -- ; Orwell : a voice that naked goes -- ; Orwell : life and art ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; The wind in the willows : a new source for Animal farm -- ; True to life : writing Orwell's biography","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","828.91209","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
"Nineteen eighty-four : a novel","","007379311","Monograph","Language material ; Text","Volume","","","9780436350078","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Twentieth Century Classics","1974","","318 pages, 21 cm","823.91 ; 823.912","X.950/28269","Fiction in English--1900-1945--Texts","","English","Originally published: 1949",""
"Nineteen eighty-four : a novel","","008324884","Monograph","Language material ; Text","Volume","GB5402483","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","United Kingdom","","Penguin ; Secker & Warburg","1954","","251 pages, 18 cm","823.91","","","","English","Originally published Secker & Warburg, 1949",""
"Nineteen eighty-four : a novel","","018848872","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","Canada","Toronto","S. J. Reginald Saunders","1949","First Canadian edition","4 unnumbered pages, 314 pages, 21 cm","","RF.2018.a.197","Dystopias--Fiction ; Totalitarianism ; Totalitarianism--Fiction ; Orwell, George, 1903-1950","Fiction","English","'Appendix: The principles of Newspeak'--Pages [301] -314 ; 'Printed in the United States of America by the Haddon Craftsmen, Scranton, PA.'--Title page verso ; 'The caricature of George Orwell which appears on the back panel is by George Holland'--On inner dust jacket, at back ; Issued with dust jacket",""
"Nineteen eighty-four : ten years later","","007919368","Monograph","Language material ; Text","Volume","","","","Stansky, Peter","1932-","person","","Stansky, Peter, 1932- [person] ; Harry Ransom Humanities Research Center [organisation]","British studies","23 [British studies]","United States of America","Austin, Texas","College of Liberal Arts, Harry Ransom Humanities Research Center ; University of Texas at Austin","1995","","21 pages, 23 cm","","YA.1996.a.19606","English fiction ; Orwell, George, 1903-1950","","English","",""
"Nineteen eighty-four : the facsimile of the extant manuscript","","007086722","Monograph","Language material ; Text","Volume","","","9780436350221","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","","","M & S Press ; Secker & Warburg","1984","","","","f85/0197","","","","",""
"Nineteen eighty-four and the apocalyptic imagination in America","","012736097","Monograph","Language material ; Text","Volume","","","9789062563340","","","","","Kroes, Rob, 1940- [person]","European contributions to American studies","8 [European contributions to American studies]","Netherlands","Amsterdam","Free University Press","1985","","230 pages","810.9","YH.1986.b.45","Dystopias in literature ; Politics in literature ; End of the world in literature ; Utopias in literature ; Prophecies in literature ; English literature--American writers--to date ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950 ; American literature--20th century--History and criticism ; Apocalyptic literature--History and criticism ; American literature--English influences","","English","",""
"Nineteen eighty-four in 1984 : autonomy, control and communication","","007441985","Monograph","Language material ; Text","Volume","GB8329861","","9780906890424 ; 9780906890431","","","","","Chilton, Paul [person] ; Aubrey, Crispin [person]","Comedia series","number 17 [Comedia series]","England","London","Boyars ; Comedia","1983","","120 pages, 3 leaves of plates, illustrations, 2 portraits, 22 cm","823.912","84/00585 ; X.950/32491","Dystopias in literature ; Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984 ; Science fiction, English--History and criticism ; Orwell, George, 1903-1950","","English","",""
"Nineteen eighty-four to 1984 : a companion to the classic novel of our times","1984 to 1984","010394225","Monograph","Language material ; Text","Volume","","","9780881840858","","","","","Orwell, George, 1903-1950 [person] ; Kuppig, C. J. [person]","","","United States of America","New York","Carroll & Graf","1984","","","","86/09710","","","English","",""
"Nineteen eighty-four","","002722718","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","","Geneva","Edito-Service","1974","","313 pages, plates, 20 cm","","X.989/27932","","","","Printed in France",""
"Nineteen eighty-four","","007375125","Monograph","Language material ; Text","Volume","GB9049116","","9780435123574","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","New windmills","","England","Oxford","Heinemann","1990","","240 pages, 20 cm","823.912","YK.1990.a.6961","Fiction in English--1900-1945--Texts","","English","Originally published: London : Secker and Warburg, 1949",""
"Nineteen eighty-four","","007379312","Monograph","Language material ; Text","Volume","GB8409716","","9780436350221","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","1984","","xix, 381 pages, 36 cm","823.912","LB.31.c.1760","Manuscripts, English--Facsimiles ; Fiction in English--1900-1945--Texts","","English","",""
"Nineteen eighty-four","","007379446","Monograph","Language material ; Text","Volume","GBA014791","","9780436410550","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Secker & Warburg","1999","","249 pages, colour illustrations, 26 cm","823.912","Nov.2000/223","","","English","",""
"Nineteen eighty-four","","008305543","Monograph","Language material ; Text","Volume","GBA545270","","9780141187761","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Modern Classics","","England","London","Penguin","2000","","xx, 325 pages, 20 pages","823.912","H.2005/1965","Totalitarianism--Fiction","Dystopia ; Fiction","English","Originally published: London : Martin Secker & Warburg Ltd, 1987",""
"Nineteen eighty-four","","008424123","Monograph","Language material ; Text","Volume","GB9366695","","9780749317232","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Compact","1993","","325 pages, 19 cm","823.912","","English fiction","","English","Originally published: London: Secker & Warburg, 1949",""
"Nineteen eighty-four","","009535905","Monograph","Language material ; Text","Volume","GB99Y6808","","9780436231315","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","The complete works of George Orwell","volume 9 [The complete works of George Orwell]","England","London","Secker & Warburg","1999","","i, 341 pages, 24 cm","823.912","823.912","Totalitarianism--Fiction","Humour or satire","English","Originally published: London: Secker & Warburg, 1949",""
"Nineteen eighty-four","","009735536","Monograph","Language material ; Text","Volume","GB8707820","","9780436350313","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The Complete works of George Orwell","volume 9 [The Complete works of George Orwell]","England","London","Secker & Warburg","1987","","256 pages, 24 cm","823.91 ; 823.912","","Fiction in English--1900-1945--Texts","","English","",""
"Nineteen eighty-four","","010020467","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Secker & Warburg","1949","","314 pages","","Wilson 301 ; YA.1989.a.8131","","","English","The copy held in the Wilson collection was formerly owned by Angus Wilson. With dust-jacket",""
"Nineteen eighty-four","","010081285","Monograph","Language material ; Text","Volume","GB9106157","","9780582060180","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Harmer, David, 1952- [person]","Longman literature","","England","Harlow","Longman","1991","","xii, 318 pages, 20 cm","823.912","YK.1991.a.2698","English fiction","","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","010698463","Monograph","Language material ; Text","Volume","GB8338443","","9780582331655","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Cookson, Linda [person]","Longman study tests","","England","Harlow","Longman","1983","","xli, 310 pages, 18 cm","823.912","X.958/17705","Fiction in English--1900-1945--Texts","","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","010701590","Monograph","Language material ; Text","Volume","GB8341020","","9780582536586","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The Bridge series","","England","Harlow","Longman","1983","Complete text edition","xix, 329 pages, 18 cm","823.912","H.83/1162","Fiction in English--1900-1945--Texts","","English","Originally published: London : Secker & Warburg, 1949",""
